Code;Name;U_Grupo
Code;Name;U_Grupo
TRADICIONALES;TRADICIONALES;BASICOS
SENIOR;SENIOR;BASICOS
OPEN;OPEN;SMARTPHONES
PREPAGOS;PREPAGOS;SMARTPHONES
TARJETAS SIM;TARJETAS SIM;ACCESORIOS CELULARES
SOPORTES CELULARES;SOPORTES CELULARES;ACCESORIOS CELULARES
CARGADORES CELULARES 220V;CARGADORES CELULARES 220V;ACCESORIOS CELULARES
CARGADORES CELULARES 12V;CARGADORES CELULARES 12V;ACCESORIOS CELULARES
KIT CARGADORES CELULARES;KIT CARGADORES CELULARES;ACCESORIOS CELULARES
BATERIAS CELULARES;BATERIAS CELULARES;ACCESORIOS CELULARES
MANOS LIBRES;MANOS LIBRES;ACCESORIOS CELULARES
LENTES PARA CELULARES;LENTES PARA CELULARES;ACCESORIOS CELULARES
CABLES CELULARES;CABLES CELULARES;ACCESORIOS CELULARES
CARCASAS;CARCASAS;ACCESORIOS CELULARES
ADAPTADORES CELULARES;ADAPTADORES CELULARES;ACCESORIOS CELULARES
MODEM BANDA ANCHA;MODEM BANDA ANCHA;ACCESORIOS CELULARES
PROTECTORES DE PANTALLA;PROTECTORES DE PANTALLA;ACCESORIOS CELULARES
CARGADORES CELULARES INALAMBRICOS;CARGADORES CELULARES INALAMBRICOS;ACCESORIOS CELULARES
DISPOSITIVOS BLUETOOTH;DISPOSITIVOS BLUETOOTH;ACCESORIOS CELULARES
SMARTWATCHES;SMARTWATCHES;WEREABLES
FITNESS;FITNESS;WEREABLES
SIMPLE;SIMPLE;INALAMBRICOS
DOBLE;DOBLE;INALAMBRICOS
SOBREMESA;SOBREMESA;ALAMBRICOS.
GONDOLAS;GONDOLAS;ALAMBRICOS.
TELEFONOS DE PRUEBAS;TELEFONOS DE PRUEBAS;ALAMBRICOS.
GENERADORES DE TONOS;GENERADORES DE TONOS;ACCESORIOS TELEFONIA FIJA
BATERIAS TELEFONOS FIJOS;BATERIAS TELEFONOS FIJOS;ACCESORIOS TELEFONIA FIJA
ADAPTADORES TELEFONIA FIJA;ADAPTADORES TELEFONIA FIJA;ACCESORIOS TELEFONIA FIJA
ALTAVOCES TELEFONIA FIJA;ALTAVOCES TELEFONIA FIJA;ACCESORIOS TELEFONIA FIJA
CINTILLOS TELEFONICOS;CINTILLOS TELEFONICOS;ACCESORIOS TELEFONIA FIJA
CONECTORES TELEFONICOS;CONECTORES TELEFONICOS;ACCESORIOS TELEFONIA FIJA
ROSETAS TELEFONICAS;ROSETAS TELEFONICAS;ACCESORIOS TELEFONIA FIJA
CABLE EXTENSION TELEFONICA;CABLE EXTENSION TELEFONICA;ACCESORIOS TELEFONIA FIJA
CABLE EXTENSION RETRACTIL;CABLE EXTENSION RETRACTIL;ACCESORIOS TELEFONIA FIJA
PROBADOR TELEFONICO;PROBADOR TELEFONICO;ACCESORIOS TELEFONIA FIJA
ACCESORIOS VARIOS TELEFONIA FIJA;ACCESORIOS VARIOS TELEFONIA FIJA;ACCESORIOS TELEFONIA FIJA
CENTRALES ANALOGAS;CENTRALES ANALOGAS;CENTRALES TELEFONICAS
CENTRALES MULTILINEAS;CENTRALES MULTILINEAS;CENTRALES TELEFONICAS
TARJETAS Y TELEFONOS CENTRALES TELEFONICAS;TARJETAS Y TELEFONOS CENTRALES TELEFONICAS;CENTRALES TELEFONICAS
GRABADORAS DE VOZ;GRABADORAS DE VOZ;AUDIO
GPS AUTOMOVILES;GPS AUTOMOVILES;GPS
GPS OUTDOOR;GPS OUTDOOR;GPS
DETECTOR RADAR 360;DETECTOR RADAR 361;DETECTOR DE RADAR
MICROCOMPONENTES;MICROCOMPONENTES;EQUIPOS DE MUSICA
MINICOMPONENTES;MINICOMPONENTES;EQUIPOS DE MUSICA
ALL IN ONE;ALL IN ONE;EQUIPOS DE MUSICA
RADIOS;RADIOS;EQUIPOS DE MUSICA
TORNAMESAS;TORNAMESAS;EQUIPOS DE MUSICA
SOUNDBARS;SOUNDBARS;SISTEMAS DE SONIDO
HIFI;HIFI;SISTEMAS DE SONIDO
