Code;Name;U_Categoria
Code;Name;U_Categoria
BASICOS;BASICOS;CELULARES
SMARTPHONES;SMARTPHONES;CELULARES
ACCESORIOS CELULARES;ACCESORIOS CELULARES;CELULARES
WEREABLES;WEREABLES;CELULARES
INALAMBRICOS;INALAMBRICOS;TELEFONOS
ALAMBRICOS.;ALAMBRICOS.;TELEFONOS
ACCESORIOS TELEFONIA FIJA;ACCESORIOS TELEFONIA FIJA;TELEFONIA
ACCESORIOS TELEFONIA FIJA.;ACCESORIOS TELEFONIA FIJA.;TELEFONOS
CENTRALES TELEFONICAS;CENTRALES TELEFONICAS;TELEFONIA
AUDIO;AUDIO;GRABADORAS
GPS;GPS;GPS/DETECTORES DE RADAR
DETECTOR DE RADAR;DETECTOR DE RADAR;GPS/DETECTORES DE RADAR
EQUIPOS DE MUSICA;EQUIPOS DE MUSICA;EQUIPOS HOGAR
SISTEMAS DE SONIDO;SISTEMAS DE SONIDO;EQUIPOS HOGAR
PARLANTES BLUETOOTH;PARLANTES BLUETOOTH;EQUIPOS HOGAR
REPRODUCTORES PORTATIL;REPRODUCTORES PORTATIL;EQUIPOS HOGAR
HOME STUDIO;HOME STUDIO;EQUIPOS HOGAR
ALAMBRICOS;ALAMBRICOS;AUDIFONOS
INALAMBRICOS.;INALAMBRICOS.;AUDIFONOS
INALAMBRICOS..;INALAMBRICOS..;MICROFONOS
ALAMBRICOS..;ALAMBRICOS..;MICROFONOS
ACCESORIOS;ACCESORIOS;MICROFONOS
BAFLES;BAFLES;PROFESIONAL
AMPLIFICADORES;AMPLIFICADORES;PROFESIONAL
MESAS DE SONIDO;MESAS DE SONIDO;PROFESIONAL
PROCESADORES DE AUDIO;PROCESADORES DE AUDIO;PROFESIONAL
PORTATILES;PORTATILES;SONIDO AMPLIFICADO
AMBIENTALES;AMBIENTALES;SONIDO AMPLIFICADO
SIRENAS;SIRENAS;SONIDO AMPLIFICADO
DISCOS DUROS;DISCOS DUROS;ALMACENAMINIENTO
